fid_1,Lake,Type,Sq,EM_pct_17,SFM_pct_17,OW_pct_17,EM_pct_18,SFM_pct_18,OW_pct_18,EM_pct_19,SFM_pct_19,OW_pct_19,EM_pct_20,SFM_pct_20,OW_pct_20,EM_pct_21,SFM_pct_21,OW_pct_21,EM_pct_22,SFM_pct_22,OW_pct_22,EM_pct_23,SFM_pct_23,OW_pct_23,EM_pct_24,SFM_pct_24,OW_pct_24,mac17,mac18,mac19,mac20,mac21,mac22,mac23,mac24,morf_group
30,Didžiulis (Dusmena),1,1.8,1.0551709196435726,5.119890381135422,93.824938699221,4.068518843244878,4.098405975504785,91.83307518125036,11.963138952219284,4.56232967412218,83.47453137365854,3.809211513576729,12.448297271005362,83.74249121541791,3.741563901571448,7.405198589890547,88.853237508538,1.5483162241512944,11.647697313085436,86.80398646276328,1.6396268249719723,11.319282786345218,87.0410903886828,2.38445924597978,10.618345416527546,86.99719533749267,6.175061300778994,8.166924818749663,16.525468626341464,16.257508784582093,11.146762491461995,13.19601353723673,12.958909611317187,13.002804662507328,3
31,Draudeniai,1,1,13.414753045778152,2.1935014045955734,84.39174554962628,NA,NA,NA,NA,NA,NA,1.972373403200179,17.11661667182639,80.91100992497344,NA,NA,NA,8.627221127251591,11.79593315760722,79.5768457151412,9.561373865043471,10.573170653198105,79.86545548175843,20.29155196266069,0.7968916895741059,78.9115563477652,15.608254450373725,NA,NA,19.08899007502657,NA,20.42315428485881,20.134544518241576,21.0884436522348,3
32,Dringis,1,7,4.36835203408964,1.3663900650296652,94.2652579008807,5.981108297968377,3.722786910347489,90.29610479168412,7.268990304423658,5.969075803575159,86.76193389200118,NA,NA,NA,NA,NA,NA,4.576231474970009,8.187606160084977,87.23616236494502,7.613001914714331,4.381325244477883,88.00567284080778,6.578024290215375,6.152678824286237,87.26929688549838,5.734742099119305,9.703895208315869,13.238066107998815,NA,NA,12.763837635054989,11.994327159192212,12.730703114501612,1
33,Dūkštas,1,5,3.3744174334625128,0.647236669475962,95.97834589706152,4.190289787203905,1.524311280098906,94.28539893269718,5.00052584660595,3.259280338967644,91.7401938144264,4.971045302966813,3.197557680803415,91.83139701622976,NA,NA,NA,3.718697773123544,3.810830223151073,92.47047200372538,4.868961141212986,2.61395978358661,92.5170790752004,4.537253692394401,2.885698603759235,92.57704770384636,4.0216541029384745,5.7146010673028105,8.259806185573595,8.168602983770228,NA,7.529527996274617,7.482920924799596,7.422952296153636,3
34,Dūriai,1,2.8,7.154933103375696,8.115780287603393,84.7292866090209,NA,NA,NA,13.598789603953708,5.464700372071952,80.93651002397434,7.241258345290487,10.599302669583896,82.15943898512562,NA,NA,NA,7.123833900404042,10.900971924906184,81.97519417468978,9.187267174495847,8.300262086771339,82.51247073873283,9.853103863569682,8.061936632212106,82.08495950421822,15.27071339097909,NA,19.06348997602566,17.840561014874382,NA,18.024805825310224,17.487529261267184,17.91504049578179,1
35,Dusia,1,23.4,0.3910076768854164,1.4971516563975094,98.11184066671709,0.8961062683890235,1.137225715108228,97.96666801650277,NA,NA,NA,1.0280484335639135,1.1113252265049802,97.8606263399311,0.617694378229039,2.2769492321056344,97.10535638966532,0.4111178802539128,1.595926515494111,97.99295560425196,0.5662524989109533,1.5404519408763262,97.8932955602127,0.4969341153072521,1.482576078332524,98.02048980636022,1.8881593332829256,2.033331983497252,NA,2.1393736600688937,2.8946436103346733,2.007044395748024,2.10670443978728,1.979510193639776,3
36,Dviragis,1,3,NA,NA,NA,6.079088418086654,4.800237649123906,89.12067393278944,10.855534221163882,3.411640904370482,85.73282487446563,3.400751592932488,9.737147092310366,86.86210131475715,2.914334287160568,11.062012125194098,86.02365358764533,NA,NA,NA,15.240625893707142,7.0137410163360805,77.74563308995677,3.9460346010459153,9.494011466760565,86.55995393219351,NA,10.87932606721056,14.267175125534363,13.137898685242853,13.976346412354664,NA,22.254366910043224,13.44004606780648,3
37,Eišiškės Reservoir,2,1.4,16.867254571026603,11.193927954315752,71.93881747465764,22.227892272000656,2.479601952553127,75.29250577544622,24.927840674612405,11.27502946733129,63.7971298580563,NA,NA,NA,19.12268253967584,11.458813627418367,69.4185038329058,19.19111464211747,11.592767359082302,69.21611799880023,28.10364453070537,2.0064332639293534,69.88992220536528,21.44123040467955,8.348725218089006,70.21004437723144,28.061182525342357,24.707494224553784,36.20287014194369,NA,30.581496167094205,30.78388200119977,30.110077794634726,29.78995562276856,4
38,Elektrėnai Reservoir,2,12.9,3.758921026845261,7.160370446072465,89.08070852708228,5.718714866539994,4.33547252943466,89.94581260402535,7.568144515236417,6.520244533818596,85.91161095094499,5.403625137307251,8.797441281250354,85.7989335814424,5.151511569639785,9.056421563821525,85.79206686653869,6.434042781216942,7.158835337272078,86.40712188151099,5.270589704402525,7.920661935137743,86.80874836045973,5.255559633656109,8.128610190816257,86.61583017552763,10.919291472917726,10.054187395974656,14.088389049055014,14.201066418557604,14.207933133461308,13.592878118489018,13.191251639540267,13.384169824472366,5
39,Galadusys,1,6.2,4.922117698084849,4.213351327643903,90.86453097427125,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.703164965348071,7.254608207824124,88.0422268268278,4.687003536581323,5.508928065616885,89.8040683978018,5.467523524631094,4.400389806829844,90.13208666853906,4.638295767312524,5.585317576926754,89.77638665576072,9.135469025728751,NA,NA,NA,11.957773173172196,10.195931602198208,9.867913331460937,10.22361334423928,2
