fid_1,Lake,EM17,EM18,EM19,EM20,EM21,EM22,EM23,EM24,SFM17,SFM18,SFM19,SFM20,SFM21,SFM22,SFM23,SFM24,dEM18,dSM18,dEM19,dSM19,dEM20,dSM20,dEM21,dSM21,dEM22,dSM22,dEM23,dSM23,dEM24,dSM24
94,Siesartis,2.41,4.95,4.83,3.35,2.44,2.3,11.15,4.42,1.08,1.3,4.35,4.53,7.72,5.26,0.79,4.28,2.54,0.21999999999999997,-0.1200000000000001,3.05,-1.48,0.1800000000000006,-0.91,3.1899999999999995,-0.14000000000000012,-2.46,8.850000000000001,-4.47,-6.73,3.49
101,Stirniai,3.87,6.07,7.14,5.34,4.93,4.75,8.16,5.7,1.52,3.27,5.58,5.92,10.08,6.37,3.25,5.26,2.2,1.75,1.0699999999999994,2.31,-1.7999999999999998,0.33999999999999986,-0.41000000000000014,4.16,-0.17999999999999972,-3.71,3.41,-3.12,-2.46,2.01
104,Tauragnas,2.23,3.6,4.31,2.6,1.98,1.69,3.52,3.27,1.03,2.93,3.56,4.59,6.78,5.32,3.21,5.19,1.37,1.9,0.7099999999999995,0.6299999999999999,-1.7099999999999995,1.0299999999999998,-0.6200000000000001,2.1900000000000004,-0.29000000000000004,-1.46,1.83,-2.1100000000000003,-0.25,1.9800000000000004
105,Ūkojas,2.23,4.51,5.86,3.38,3.11,2.59,5.05,4.16,1.82,1.62,3.78,6.14,5.82,6.86,3.66,4.63,2.28,-0.19999999999999996,1.3500000000000003,2.1599999999999997,-2.4800000000000004,2.36,-0.27,-0.3199999999999994,-0.52,1.04,2.46,-3.2,-0.8899999999999997,0.9699999999999998
106,Ūsiai,1.88,3.44,3.98,2.37,1.48,1.42,3.91,2.96,0.54,1.29,2.74,3.28,5.44,4,1.87,3.07,1.56,0.75,0.54,1.4500000000000002,-1.61,0.5399999999999996,-0.8900000000000001,2.1600000000000006,-0.06000000000000005,-1.4400000000000004,2.49,-2.13,-0.9500000000000002,1.1999999999999995
107,Utenas,2.28,3.69,4.25,3.19,2.21,1.84,3.98,5.46,0.66,1.46,4.35,5.28,4.58,6.66,2.91,5.35,1.41,0.7999999999999999,0.56,2.8899999999999997,-1.06,0.9300000000000006,-0.98,-0.7000000000000002,-0.3699999999999999,2.08,2.1399999999999997,-3.75,1.48,2.4399999999999995
109,Vajuonis,2.28,3.88,4.68,3.49,3.73,2.71,7.69,3.46,1.36,2.85,6.7,6.84,6.15,7.79,4.25,7.09,1.6,1.49,0.7999999999999998,3.85,-1.1899999999999995,0.13999999999999968,0.23999999999999977,-0.6899999999999995,-1.02,1.6399999999999997,4.98,-3.54,-4.23,2.84
111,Vencavas,1.61,2.77,3.11,2.05,1.79,1.66,3.11,3.08,0.39,0.2,0.53,1.04,1.99,1.26,0.31,0.42,1.16,-0.19,0.33999999999999986,0.33,-1.06,0.51,-0.2599999999999998,0.95,-0.13000000000000012,-0.73,1.45,-0.95,-0.0299999999999998,0.11
114,Vidinkstas,2.32,4.53,6.18,2.63,1.94,1.97,4.65,4.46,4.41,2.99,4.89,8.46,8.32,8.46,5.49,7.21,2.2100000000000004,-1.42,1.6499999999999997,1.8999999999999997,-3.55,3.570000000000001,-0.69,-0.14000000000000057,0.03000000000000002,0.14000000000000057,2.6800000000000006,-2.9700000000000006,-0.1900000000000004,1.7199999999999998
115,Vievis,1.57,3.1,2.91,2.61,2.15,2.89,1.86,2.08,1.01,0.19,1.15,1.02,1.96,0.55,1.38,0.88,1.53,-0.8200000000000001,-0.18999999999999995,0.96,-0.30000000000000027,-0.1299999999999999,-0.46,0.94,0.7400000000000002,-1.41,-1.03,0.8299999999999998,0.21999999999999997,-0.4999999999999999
117,Vilkokšnis,4.97,7.48,7.05,6.22,6,5.95,6.61,6.55,6.11,1.97,6.51,6.66,7.77,7.46,6.16,6.21,2.5100000000000007,-4.140000000000001,-0.4300000000000006,4.54,-0.8300000000000001,0.15000000000000036,-0.21999999999999975,1.1099999999999994,-0.04999999999999982,-0.3099999999999996,0.6600000000000001,-1.2999999999999998,-0.0600000000000005,0.04999999999999982
118,Virintai,3.1,5.7,5.43,3.83,3.42,3.3,7.24,4.36,4.18,1.72,6.44,8.1,7.25,8.96,3.92,6.2,2.6,-2.46,-0.27000000000000046,4.720000000000001,-1.5999999999999996,1.6599999999999993,-0.41000000000000014,-0.8499999999999996,-0.1200000000000001,1.7100000000000009,3.94,-5.040000000000001,-2.88,2.28
123,Žeimenys,5.58,7.5,10.57,6.4,6.32,5.65,13.08,6.39,1.64,2.78,4.96,7.18,7.49,8.82,2.78,7.4,1.92,1.14,3.0700000000000003,2.18,-4.17,2.22,-0.08000000000000007,0.3100000000000005,-0.6699999999999999,1.33,7.43,-6.040000000000001,-6.69,4.620000000000001
