fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
42,Galuonis,164741.03384006006,213201.6942680209,285421.5379569858,197617.5116816653,179645.4136764379,163551.33857875175,250941.2416689251,159689.00396014954,26291.73962385888,60243.15734789979,184118.96891702383,294608.30774584,245390.49549191043,239893.3318699556,139229.2433642967,268784.17705933825,2103126.268731687,2020714.1905796856,1824618.535321598,1801933.222768104,1862736.1996547608,1890714.3717469007,1903988.5571623857,1865685.86117612
43,Galvė,73776.22026382142,151238.27884699497,161868.86235664188,103491.6552593306,NA,79332.74054756909,319714.8204132833,118519.98473815924,167324.79595761775,72765.60605494179,156027.31631249824,196862.54046042945,NA,246513.15551684512,64882.57200094484,160794.82374664003,3370285.6854033214,3384716.171871139,3293490.5229556216,3310974.5232885764,NA,3285540.805560348,3226789.309210534,3332071.893139962
44,Gauštvinis,NA,232904.87445961425,NA,66892.5767581866,NA,101093.42023813572,99125.54209352376,154220.9162830726,NA,52621.41065166697,NA,224291.61249356737,NA,157965.96224329335,183350.9670625575,144204.1880725935,NA,962770.4407615662,NA,957112.5366210936,NA,989237.3433914185,965820.2167167664,949871.6215171814
45,Gavys,29223.95292328477,49928.375849136726,60110.08819677321,35173.015608738955,NA,19895.620848367715,49569.33681103583,50252.35972465079,NA,15423.744190844369,18918.088107539163,31711.713579125502,NA,45360.818213115,27587.23082649381,23943.875198798098,NA,1161373.9283777715,1147697.872113441,1159841.3192298885,NA,1161469.60935627,1149569.4807802234,1152529.8134943044
46,Giluitis,60442.723716257045,NA,NA,NA,85528.74120371202,55001.90910215183,67888.2335995243,63184.51544968843,182820.40720545448,NA,NA,NA,178820.16804577704,210885.7809992024,191216.329873388,182921.77427997967,2022785.2738017663,NA,NA,NA,2001699.495473989,1999810.442203148,2006943.8412505656,2019942.11499381
47,Glėbas,90403.50055550964,85448.35643886491,111149.21420997167,126663.1872817245,135953.1387756648,99855.79514025516,117834.7210272396,66171.87639196063,52276.0045857149,39506.80347910863,42703.02081774543,58520.522203677305,58471.50541953293,53345.82450395471,34216.386252758544,74755.03872266281,1113735.247745873,1131459.5929691242,1102562.5178593802,1071231.0434016958,1061990.1086919,1103213.1332428877,1104363.6456070994,1115487.8377724742
48,Gudeliai (Alytus),171695.46239454983,151768.7115883173,NA,92167.7074538587,105454.87359758266,NA,157259.81462287158,185478.6592755188,33072.720626831055,50630.225512934674,NA,217263.80765128043,122318.43041679532,NA,103847.0752272662,92825.08645040476,931986.0358591416,934355.2817792704,NA,827322.7037753834,908980.9148661444,NA,875647.3290303848,858450.4731545991
49,Ilgai,81200.85351831785,118406.00927943816,120677.67191069368,94972.6173842637,93751.45555132708,80512.29356474042,105221.79982521207,105826.46236991136,49838.56852527696,8068.832799544989,30665.60828369741,34302.820213961146,57837.03089285459,58202.20716685876,29047.64503274057,29264.68530089434,1155125.3491385367,1145478.0934975273,1134821.4909877402,1156889.3335839063,1132952.0819600872,1147450.270450532,1151895.3263241786,1151073.6235113256
50,Ilgės,63133.55155162436,NA,290143.08804556134,83008.4703648735,78154.59292973539,88156.7082156762,71349.41815878177,90906.53933721811,315731.9084899753,NA,206515.8232477824,404714.0744879331,349287.42909625184,400550.8094879749,430993.5169066337,356833.1209158954,1073894.129189944,NA,956100.6779381996,965037.0443787368,1025317.5672055562,964052.0715278924,950416.654166128,1005019.92897843
51,Ilgis (Plungė),38423.0277607637,NA,53381.44674827726,18415.311446754607,NA,45270.97119490679,36283.47596915747,27451.21792280905,36797.96623394536,NA,87013.01833840166,120153.82830862905,NA,95709.2206115274,92113.13235858094,102019.76027193254,1081949.8665303995,NA,1016776.3954384298,1018601.720769725,NA,1016190.6687186746,1028774.2521973702,1027699.8823303672
52,Ilgis (Varėna),228246.49330278268,302966.86510063626,355051.334837117,288138.4403974198,275062.11137925705,255041.0057969936,458578.5626669491,291710.77239881025,183645.7988306383,105776.91994643866,206687.69299296977,234533.01909069,249071.79614669195,262405.61748305673,66081.24906996184,204372.35247511024,2837732.7588293203,2839125.9986160127,2687886.023132653,2726953.5914746304,2725491.1434367914,2732178.4276826894,2724965.239225829,2753541.92608882
53,Indrajai,33636.83534786747,84414.36340115119,143418.3496785481,50668.98917925965,NA,39376.26992893593,71262.87795722816,79568.14758897673,41207.19588112924,147858.2937751471,175285.91166543402,276364.0778010202,NA,291309.1477414747,224168.86897620413,269485.0021773993,2895765.263854561,2738336.6379072582,2651905.033739576,2643576.2281032787,NA,2639923.877413148,2675177.5481501264,2621556.1453171824
54,Išnarai,NA,316777.0961146633,538971.5075465938,299423.58365780686,276930.08349769434,255164.78993249053,334968.3629871739,NA,NA,194924.15010028915,266896.48557888856,498831.2406981972,502142.71516689216,564004.9984213288,393081.2289845485,NA,NA,2439470.578289944,2145303.8313794155,2152917.000148893,2155318.331904916,2132002.0361510785,2223122.2325331746,NA
55,Juodieji Lakajai,102164.28537296984,181609.8085765614,212648.67378281264,154262.53993341807,118782.94467103272,95472.08552337356,223249.2850005057,110169.13511431856,78864.390290264,86041.89733065436,116644.56341268503,114160.9975985659,219461.1655576818,171043.7040016324,69478.02261020438,128701.8160992042,3658661.158311688,3572038.1280677025,3510396.596779423,3571266.296442937,3475581.6059865025,3573174.044449916,3546962.526364211,3600818.8827614
56,Jurbarkai Reservoir,432966.2622834737,NA,NA,307735.36321648955,NA,420368.0142877458,434414.3467357552,484826.0701339857,92637.81708709116,NA,NA,295918.9493728637,NA,192482.0919076957,120706.83150579417,208466.7034231448,1654550.0643755002,NA,NA,1576499.8311567118,NA,1567304.0375506228,1625032.965504515,1486861.3701889329
57,Kalviai,90971.1421787038,131906.07479954138,179005.81481712149,110006.60811273912,81657.7974464117,123466.34120142311,202430.29556135263,92030.41231568273,112857.2848358004,48861.38633838729,54716.15235437132,111680.42209029844,130832.78894481284,84794.57245025635,29098.70699552648,115869.54559631344,1635716.3372898924,1643377.124413569,1605822.7971329037,1617857.733644164,1627054.1779131722,1631283.8506527173,1608015.7617475174,1631644.8063924008
58,Kaunas Reservoir,NA,882806.4410975293,NA,NA,636544.4485797365,675342.4390141214,730995.4895679103,853959.1128702506,NA,69531.95607896693,NA,NA,571030.988876223,1072460.640157991,550001.2393995698,851523.457029335,NA,45833209.2236754,NA,NA,45581318.19891412,45041090.55719796,45507896.90745274,45083411.06647048
59,Kavalys,88301.32756397025,91846.19430159022,NA,70102.05793854946,46675.92520695108,23073.575525022025,34036.02244976267,29273.48640564564,67589.5031756232,44758.89839357864,NA,105087.96654235246,129193.14705886842,152149.65680206873,134868.25657893158,138192.98465024156,1182659.0949104154,1201944.8329548405,NA,1163359.9011691073,1162680.85338419,1163326.6933229184,1169645.646621315,1171083.4545941222
