fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
75,Monis,77405.02982991532,89266.46601997837,100066.68539415256,85429.25744307277,98291.742474844,92367.79477404428,144309.0623673382,98943.29981955743,28591.889218857712,11886.079553327374,31869.29514299282,54296.89069960354,52379.10073638617,49720.575913044064,8524.003456115723,40141.8238241607,919040.7994007184,909388.1065118976,893101.7379123463,885311.5703068154,867756.2841928818,882949.3477624033,872204.6526260376,885488.6916914547
76,Nedzingis,419563.2276453801,467518.9119504441,602254.1864794708,453862.6691379919,NA,416241.87784378935,643559.5688753015,424002.2161058162,281447.04223786894,188295.524516102,279481.4645605948,377735.01238150505,NA,417109.4074087704,147433.22066116333,356224.9251457364,2358944.5173071767,2399343.059326785,2178219.13615036,2228357.105670929,NA,2226603.501937866,2268961.997653961,2279727.6459388733
77,Nevėža,43079.63907729505,85681.45395931171,151825.40774983398,75637.68315468592,68170.22819821238,69892.75599815529,108649.3685632144,127878.90516348448,115617.20640936456,62671.21234967104,78638.93614370305,138404.97728012683,129875.8840307647,152138.31203689566,92279.85776552686,97193.67749558992,1406415.3065094142,1399193.4703596374,1334647.8081025367,1351069.4915612617,1343019.1850460274,1343081.083961023,1364182.9256673327,1340039.5693369997
78,Niedus,105794.96752382176,126526.47283441883,NA,NA,87737.83216570682,101148.1408784456,162928.5758593241,116392.09760179718,42920.363480033135,25280.33009487976,NA,NA,113710.86352557012,84257.55915180275,31903.79767236149,103637.99699946384,1090911.635673209,1087820.163747765,NA,NA,1038178.2709857865,1054221.2666468157,1041791.6948299482,1019596.8720758024
79,Obelija,126643.79107278556,227625.71300599343,NA,267919.4470964622,199673.0083095476,140522.7055724947,205026.03019050148,202981.79650874416,354286.6410044501,232502.78752691232,NA,284087.91472980264,412521.4113501155,424065.0450831245,341156.00011355826,334722.7212649626,5227096.563182757,5205022.126318883,NA,5156019.633433727,5095832.575600328,5143439.244604372,5161844.964955932,5170322.477486284
80,Paežeriai,182013.2514674315,266177.7773165829,NA,96649.8329160054,NA,114410.9817644006,119823.20085386372,118133.47513837618,97245.99088689766,59778.77466445624,NA,278253.3295287937,NA,238509.80695455224,228707.19510459152,232051.51366321344,3688835.111668441,3642137.8020417294,NA,3593191.191577971,NA,3615173.5653038174,3619563.9580643135,3617909.365221181
81,Pakasas,29401.846056590348,67558.87014342663,101409.99361976172,53192.60374752865,NA,53033.17480588424,80134.25006639068,42121.07549869313,36925.33082136263,35229.06471185123,57445.62497856288,98758.42220948162,NA,95328.45153507905,54958.37845055075,92316.1693638222,1356251.45302812,1319790.6950507965,1263723.01130775,1270627.603949064,NA,1274217.0035651112,1287486.0013891328,1288141.385043559
82,Papis,428490.15731530346,440520.8751457519,NA,NA,617893.9936812458,585748.344523546,504824.78852353647,590666.4854782408,42702.39858328128,NA,22638.084424725697,NA,144670.40286871218,35482.64385450775,96837.02282586187,125596.3546281702,1202849.1451205232,NA,NA,NA,911244.402689975,1052810.7126410543,1072379.88966971,957778.860912697
83,Peršokšnai,70932.48112510226,111256.04859367848,124620.08984442343,91237.1888067808,NA,45829.857928377016,102247.45245549855,74026.23415089025,15548.185824824312,28945.947551009227,66433.44849579746,75688.21639556882,NA,202650.47924204808,84343.4495398129,113349.04295379044,2015511.3176274025,1961789.988432642,1910938.4462371084,1935066.57937498,NA,1853511.647406905,1915401.0825820176,1914616.7074726485
84,Plateliai,363650.9748480708,NA,432521.7604666021,181953.02048218696,NA,353252.394732128,368940.7175941168,516220.55390131386,270216.25516492064,NA,537148.5490020299,697014.549119209,NA,526167.8211040722,523687.3628696965,447279.6819277295,11387599.355999198,NA,11051796.276543552,11140875.291030848,NA,11139806.76580587,11128838.505548377,11057966.350183146
85,Prapuntas,43148.98294263349,NA,NA,NA,44300.90181973028,54223.31215195001,58177.97068686396,45896.3590470258,68324.52092274683,NA,NA,NA,88716.20338230506,78087.50359860591,65762.02449301924,76431.9863570419,1169733.3855244357,NA,NA,NA,1148189.784187781,1148896.07363926,1157266.8942099328,1158878.5439857484
86,Pravalas (Vidugiris),211736.1604808884,331324.4259477651,NA,297453.1704470765,316494.6502843369,280276.7666282355,407442.2933889948,372691.5079762625,298909.82385141694,73023.86404510199,NA,270470.142613654,202839.85050190947,401234.0066288516,200846.4830778982,235681.452604062,2147923.7125695166,2254221.4069089554,NA,2088466.6356988496,2139235.196115576,1977058.9236447352,2050280.9204349287,2050196.7363214984
87,Rašai,123061.38179316804,122289.0308843276,276668.61997952906,126407.07134062811,NA,NA,186501.8511988021,166065.44333181903,160028.6076078228,116460.9337352378,119669.29761186488,270827.3163957336,NA,NA,181763.0953094183,251059.42570907,1454536.549838616,1498876.5746200406,1341288.6216482124,1340392.151503245,NA,NA,1369361.592731386,1320332.5398314383
88,Rašia,61563.387544818914,95577.42110215726,98058.88748252716,78049.54975080282,NA,53094.24178433884,89231.05711464968,65235.26721604287,8478.102310075948,18055.57903223973,44009.51136517989,48418.791438173765,NA,58898.766157157705,25414.102201633832,57873.69670253081,1766232.2245161312,1722640.71423663,1694205.3155233194,1709805.3731820493,NA,1723823.19106393,1721628.5550547426,1713164.7504524526
89,Rimietis,229683.08342551443,260283.0837351781,NA,NA,94479.18693114644,133565.99530545404,121109.34499284346,147489.89492971372,101262.81084647083,44927.13223102046,NA,NA,257306.0779583351,225546.0358648412,232597.0375565323,207392.1675192889,1053643.7104349772,1079379.388740764,NA,NA,1032804.3398174808,1025477.5735366672,1030883.2221575868,1029707.5422579596
90,Rubikiai,126479.23331286867,237680.1396798677,510072.3941526385,182137.4604142879,184547.1197471617,194672.79763544147,471129.1750299795,435654.4691969192,655592.0531336163,488003.787225671,451585.8201001034,761471.9479706095,752760.1840449763,796782.8433876937,452540.63139376167,517837.5008802375,8355668.7562705185,8385719.535412907,8176081.828464256,8194130.634332098,8110241.564425349,8145943.805311722,8214070.236293256,8184248.072639843
91,Samavas,99349.2017513498,153205.7722326242,203017.9979450449,102390.57331786804,NA,67817.03328107951,208681.7096400689,80830.97237590713,34274.9741205552,133155.0992875791,354628.36117276986,381245.6184664412,NA,478661.9537136902,263357.7627360923,454671.3916533681,5022579.23733947,4869842.541691169,4598557.054093561,4671775.163747077,NA,4604633.043407921,4684163.940835211,4620701.049182102
92,Sartai,419705.27986860153,663870.7123363868,1484156.7830596168,600291.2495841827,648433.3823957106,NA,1039645.0380043024,528456.2205701639,337024.94818086765,733320.971454351,524972.8541151456,1349206.578183927,1123065.5175602634,NA,793850.3057336698,1366268.8759648048,10787075.118416626,10146613.662675358,9534000.34942042,9594307.518697985,9613888.504691612,NA,9710310.002728123,9649080.249931129
93,Seirijis,122008.74854823088,172198.14931686965,182695.2729030084,NA,158856.24430459685,145263.8964547996,174920.40596186297,158246.9724174347,305476.2880320831,165922.89311752317,339890.44058016606,NA,392991.16183127614,332303.8503134335,294704.586792052,290152.1780534632,4652528.497225907,4731632.770912842,4557310.578608569,NA,4528166.127670348,4602445.787037987,4610388.541052306,4631614.383335322
94,Siesartis,123080.7592883989,253157.7700469974,246645.64791943465,171084.4043103688,124618.18569837086,117280.46487024348,569905.4458151868,225802.2446566417,55262.11961550247,66605.05321668739,222019.9097735835,231666.55591441164,394622.4415097105,268999.1350413605,40416.2589746363,218811.2271080168,4930921.104461331,4789501.160101549,4640598.425672209,4706513.023140447,4585563.768640363,4722584.253975169,4498942.278575404,4664650.511600568
95,Siesikai,40409.75663749848,NA,213886.53453804489,NA,83144.49077001835,101694.16306203208,174723.18992168966,108268.3043413049,112456.79203968424,NA,96230.65514529355,NA,165250.35515730618,183519.46325382908,118679.21880837236,188146.27123906752,1034984.7168211244,NA,877734.0758149689,NA,931979.7220497729,902637.639182446,894448.8567682453,891436.6899179346
96,Simnas,150294.4122023638,147114.953672222,NA,NA,125110.08944199508,77849.77223777022,89604.00259556483,98759.92805561736,148902.39804793714,124196.55688270116,NA,NA,116006.00406670664,238428.4872403014,190703.56799795112,192644.3493132049,2123276.5645947624,2151045.174531839,NA,NA,2181357.281336362,2106195.115366992,2142165.804251547,2131069.0974762407
97,Skaistis,84398.6468791736,NA,167109.41654923395,123351.49597616756,NA,84634.89049358,141502.2600799711,129624.7538434946,181566.79753219016,NA,166695.7241056855,211363.43795577408,NA,256579.22755441137,174290.73485291435,178542.5033810485,2591512.7212413703,NA,2523383.151786908,2522647.293160307,NA,2516264.047604744,2541685.170719849,2549310.908428191
98,Šlavantas,106466.24629450782,NA,NA,NA,96853.8840314529,90062.28789608531,120980.4994703854,102768.70447580676,81585.90907332479,NA,NA,NA,117747.4336986018,103828.09488277056,75581.526303325,95814.97100628124,1683958.7188477155,NA,NA,NA,1657409.5564854925,1678120.4914366924,1675448.8484418374,1673427.1987334602
99,Snaigynas,68576.636490302,113539.20401298668,NA,NA,88968.03763429228,82082.89619433835,177750.4395961689,124977.51129808614,145137.9345226363,24086.5443515254,NA,NA,218008.81974449905,137787.14367366122,48664.15274041868,95314.53667165716,1816540.6317726583,1892335.6145697045,NA,NA,1723278.345406806,1810385.162917597,1803840.610449009,1809963.154815853
100,Spindžius,50385.50055455229,86539.25860396736,71252.91874684353,NA,53670.312870504335,54858.10814177567,83513.54682995664,62285.02672348019,39532.48474438237,3187.6325019836427,51810.64282941631,NA,57631.780238162784,50588.58102704218,29278.47353330125,38622.71343425675,1013368.7703652928,999266.8925428952,980223.1940879674,NA,986464.897045001,997840.0664954096,990494.7353009692,1002379.0155064904
101,Stirniai,331325.586066736,519068.2292737629,610624.8882352943,457198.8126827168,421797.9924965508,405898.4187568224,697671.0969603732,487253.3011001599,129801.324578663,279510.20801539696,477488.57046550687,506326.66525656,862659.7172677274,544828.613819152,277668.8037414402,450254.2958022471,8092835.23761122,7755383.710967463,7465848.689555822,7590436.670317347,7129581.21889548,7602892.323886827,7578622.24755481,7616454.55135422
102,Suvingis,47066.62353829774,NA,74103.64425760899,56751.27295696784,NA,36799.99332547655,103400.338388271,45801.25885651528,69614.56223923925,NA,67922.86746823181,74945.4120289073,NA,92575.65977519908,30005.404785260973,78172.8915145874,956936.74017147,NA,931532.98038909,941921.2409631318,NA,944242.2728483313,940212.182775475,949643.775577904
103,Svėdasas,21111.163052876807,NA,82091.62472486301,40780.35082051894,41685.616401343264,NA,72297.85012216009,86414.98092409012,86417.98345999616,NA,75790.03054091506,109543.02021761132,115994.41929583078,NA,73927.40742191987,60659.30330385692,1058400.3296039808,NA,1007991.3374602674,1015606.1050787234,1008249.4404196796,NA,1019704.218572774,1018855.1918889064
104,Tauragnas,111127.96537308051,179096.77508163452,214454.59514809385,129497.43484648172,NA,83986.4775693258,175377.04177178763,163010.23961229506,51346.63939737057,145700.12913513184,177126.0893111734,228535.7802080194,NA,264766.83241304883,159754.16698282285,258556.55676659985,4817486.789930079,4655164.490483765,4588380.710241265,4621928.179646031,NA,4630468.98544829,4644830.185945922,4558394.598321637
105,Ūkojas,41595.18991805428,84039.36294754627,109383.0974998624,63144.03157258867,NA,48309.99416743253,94198.1661762762,77525.29026172115,33881.84200224036,30171.097571982584,70455.24517322621,114487.4956525764,NA,127944.413343407,68352.11758879121,86339.9950790555,1789940.459316494,1751207.0307172593,1685579.1485636989,1687785.964011622,NA,1689163.0837259474,1702867.2074717197,1701552.2058960106
106,Ūsiai,48624.79087989659,88778.82174681127,102914.06413500918,61239.376010520784,NA,36751.83672959576,101089.21567141965,76423.1139277739,13905.669090046602,33367.1827141257,70861.72770343859,84748.99169142485,NA,103459.17313788927,48308.17909509996,79426.20096568688,2521347.727333938,2461732.1828429447,2410102.395465432,2437889.820332754,NA,2443210.716849848,2434480.7925373605,2428028.8724104194
107,Utenas,45382.29072044226,73491.29425572416,84603.83492557304,63579.55716971607,NA,36724.648004584255,79335.54055949196,108801.01286009252,13228.682488086177,29079.68517993104,86613.61467564909,105087.24056234928,NA,132596.69450077738,57906.24300816852,106617.99205413523,1932895.4840975744,1888935.4778704487,1820289.0077048813,1822839.6595740381,NA,1822185.114800742,1854264.673738443,1776087.4523918757
108,Vaitiekūnai Reservoir,190230.84139627183,286963.6055195231,NA,130636.0751954022,NA,NA,208060.3871569016,182419.34082058168,44363.2594531639,44087.06120273366,NA,206226.7482705509,NA,NA,66192.959652695,125721.51028087844,1158984.3408221228,1062527.774949302,NA,1056715.6182056058,NA,NA,1119325.0948619624,1085437.5905700985
109,Vajuonis,52791.96753209438,89690.34806228342,108359.08683966828,80714.52915607528,NA,62648.90833589144,177972.7886079229,80120.98227877144,31513.71353029738,65805.00446473664,154897.6160729652,158170.4650921392,NA,180190.7644093233,98200.11650107888,164073.12929084632,2228697.62096755,2157507.9495029226,2049746.5991173089,2074118.30612986,NA,2069706.966870177,2036830.3969209408,2068809.190460325
110,Veisiejis,415073.55409934814,NA,NA,NA,356168.4040958775,373815.30987103,655821.9292386827,371216.5016013649,241911.1897358016,NA,NA,NA,566224.6043092925,554552.0066149851,290011.67188788054,503732.1380760642,4907771.6379504185,NA,NA,NA,4642363.37338041,4636389.065299567,4617921.916797936,4689807.74210815
111,Vencavas,36576.57854591808,62847.416300306046,70554.50018766822,46545.07778770588,NA,37583.03255978743,70663.29684038351,69925.65174096805,8942.248248021744,4588.020939576392,12141.567464596616,23638.90521602256,NA,28488.70883150288,6970.069037628175,9634.336399601954,2224306.181149308,2202389.570703364,2187128.9402909824,2199641.0249395184,NA,2203753.2665519565,2192191.6420652354,2190265.0198026765
112,Verniejus,41506.349062856105,58602.03229307291,66885.61743418376,NA,60419.419187882384,48980.90571829109,43438.871030470975,51338.59275726621,49135.650760381344,12631.156758611343,48739.18201518339,NA,66986.06255045871,81440.1958585103,69455.4291479372,58186.43112896187,950693.0890334036,961440.2819804028,924954.6544890612,NA,913580.8018891134,910913.9872798396,928440.7886782328,931810.0649704128
113,Vernijis,152018.15052802896,158343.14584376017,NA,NA,147015.953277199,151131.69287502818,207818.5766645544,155417.4105384677,131614.22933286784,77405.54072297041,NA,NA,160386.12762347952,167568.41379995912,105132.94202171775,152482.0060861027,1471751.0047651548,1513408.984520198,NA,NA,1447981.303725373,1436683.2779510643,1442431.8659397797,1447483.9680014811
114,Vidinkstas,26171.38671124026,51068.0149580562,69701.7932167202,29734.08690314198,21922.27277196246,22251.286731794746,52521.25791830915,50369.37446347394,49817.02880759147,33725.73082626943,55230.71043237423,95514.29007876528,93844.504756374,95429.15314636228,61917.88974533083,81371.97232441623,1052456.858580242,1043651.528314748,1003512.7704499788,1003196.8971171664,996310.2092517036,1010764.8342209164,1014006.1264354332,996703.9273111832
115,Vievis,46762.76452716,NA,86298.91082630533,77464.00876841827,63750.18402874512,85744.71388419661,55350.02236667699,61803.1473625781,29886.99779118557,NA,34071.16307027481,30252.54791425816,58071.306072713815,16446.983775509107,40945.767732388376,26214.12302798103,2893653.231084667,NA,2849932.9195064325,2862586.436720336,2841136.814031534,2868111.295743307,2874007.203303947,2882285.723012454
116,Vilkinys,53410.65540753533,75927.84542640237,NA,NA,38449.90148441089,48741.682245007694,119413.73243098515,55742.95399436204,84674.20198739739,27369.60222235287,NA,NA,127739.46261628078,134771.59742955206,58633.27019348144,113334.98030948995,1233476.9215021916,1268146.6586790946,NA,NA,1205372.4147964327,1188048.4992225647,1193514.776272657,1202483.844593272
117,Vilkokšnis,151787.3693766276,228570.837869113,215442.21473828488,189964.5630667144,183517.3056524392,181715.6000736615,202088.07707619792,200218.64568399187,186734.9253790464,60286.05065639719,199081.4283001021,203638.9694955416,237346.10011104497,227958.89729333,188387.42258794443,189907.1948205985,2717621.377061014,2743840.263794258,2641620.028778301,2662540.139254432,2631032.618729597,2646469.174449696,2665668.1721525462,2666017.8313120976
118,Virintai,82006.51839973585,150601.46044851572,143571.92122330013,101118.52862693903,90344.06789336844,87236.62489443006,191133.6437133343,115202.8611023245,110373.8544477874,45372.24207009708,170110.04985011992,214032.23282300183,191638.37738402133,236763.1808289323,103462.913785179,163757.11153812785,2449317.2958596046,2445723.966188516,2328015.6976337065,2326147.468098585,2347273.60785204,2317355.436851561,2347101.111208613,2362737.6957203294
119,Zaduojys,33323.4029112872,63666.32891257791,71586.38693669636,36211.77167834115,27110.39650153366,NA,77182.88238903876,51711.90554616588,73016.05569294948,32610.180358108824,74737.35976118204,97237.97998652744,106889.98953796098,NA,70494.68196491917,96944.40169746548,1189746.707910859,1222800.2112215674,1172752.973794376,1185626.9688273862,1182822.2227279064,NA,1171399.1561382967,1170420.4132486233
120,Žaltytis,118507.76927801412,NA,NA,NA,120953.6119026485,113427.37128076004,153026.07909830127,113906.142362677,43372.097874944375,NA,NA,NA,81339.80074561623,55131.394669671165,24460.063090589927,43770.73073972818,2270294.126459458,NA,NA,NA,2229880.580964152,2263615.2276619845,2254687.8514235243,2274497.120510011
121,Zapsys,118108.60981427372,153421.59197441526,NA,NA,148611.85632840294,146046.09795433455,237213.63747639328,138067.99883415375,140249.4657333524,105533.61624827668,NA,NA,165176.16248501046,169533.6963640699,83034.71204235601,167631.84338751403,1635170.4851437286,1622710.043157749,NA,NA,1579740.5418779408,1577948.7663729498,1573280.211172605,1587828.718469687
122,Žasliai,70153.37425887167,NA,160200.40390364692,85500.53611972289,83815.76994332705,194888.48229233964,78188.47781001078,96049.61055697272,74987.55890296488,NA,64680.49399022121,133837.4108947754,137314.09295459822,23326.28906275432,121862.69562883567,113837.8614031474,914826.0698889936,NA,835086.1051569621,840629.0560363322,838837.140152905,841752.2316957362,859915.829611984,850079.5310907103
123,Žeimenys,242083.87308765537,325005.212430498,458008.2322995352,277389.4762568612,NA,244777.87604869792,566884.5432056785,277090.8030659549,71253.38452007818,120519.1773612378,214944.0138828801,311051.48682669824,NA,382438.5772302068,120427.76109490494,320977.9316555847,4021331.59627898,3889144.464094979,3661716.607704296,3745485.9145649015,NA,3707452.400583663,3647356.549586126,3736600.1191651714
124,Želvos,83934.26278007367,118747.55915905836,139227.2544631211,83576.05851456897,69535.18966778023,68477.40195801674,144018.51868251746,105396.657884007,45927.28272654215,12793.89318820729,102440.76498914244,147051.78933219175,123033.77282746254,156172.55088493493,74581.38753069709,103298.35265787164,1315198.716242606,1313518.809401956,1203392.2422969588,1214432.41406057,1251920.9049020202,1220410.308906271,1226460.3555360085,1236365.251365452
125,Žirnajai,50743.03798490038,NA,116187.40623323024,NA,NA,75087.49737981145,108965.55317141958,115218.41718262316,130657.02446060177,NA,139551.91425775265,NA,NA,171598.60165273622,120363.72857739314,113858.66903388825,1773647.6809288473,NA,1699308.4228833667,NA,NA,1708361.6443418018,1725718.461625537,1725913.3579635022
126,Žuvintas,3675373.321397717,3813588.0840379633,NA,NA,3526982.926864374,3477446.581110626,3653457.82578393,3479834.2289613653,1723736.1259042176,1940533.02,NA,NA,2060313.4517364951,2407341.5612660125,1675726.803357831,2459378.593419617,4554511.974242013,4199500.31,NA,NA,4366325.042943079,4068833.2791673103,4624436.7924021855,4014408.599162966
127,Žvernas,72130.9980557012,106292.81652042158,132966.29945573982,75546.51386525776,67399.8648932962,67227.00563106165,89725.28020950017,80226.12711042516,63780.62311229332,45035.91575637518,121711.48471356556,161002.35899610334,160693.5597693948,189261.62451906395,148913.28433670348,177667.89646717143,1677786.143452125,1662369.0323433222,1559019.9804508134,1577148.891758758,1555817.545584869,1557209.1344699934,1575059.2000739155,1555803.7410425222
128,Batoryna,295820.4880219703,307681.9747122672,533706.7064462255,321591.0169535321,346305.77030832594,NA,335536.74508451554,629848.816216383,NA,580925.8630047367,897601.135162638,739211.7023234797,715349.2257523338,NA,754369.1113713443,497653.4213915808,NA,5042323.677604527,4499623.673712667,4870128.796044517,4868410.829311835,NA,4841025.65886567,4803429.277713565
129,Belaye (Kan'),293657.4938107207,433361.0769593947,633562.9634179081,NA,385272.55051686993,303632.9287169213,723139.8853523268,435071.6298153765,501057.77506253135,188672.49063146263,150909.0948375925,NA,519502.97514663433,469555.3185763493,104083.90411502616,403317.4071385251,6531987.302649185,6704669.003931579,6542230.513266934,NA,6421927.045858925,6553514.324229159,6499478.782055077,6488313.534826359
130,Belaye (Vilija),36645.02046249984,108587.86468818516,NA,136301.52084203964,130516.24367376586,127080.15148450067,159220.6303422514,163536.64010382243,85647.58013951918,56346.72781297273,NA,43268.555977974655,78920.17950831394,199814.7590444528,38882.979645134415,28583.55231939577,1553929.8940464244,1511287.902147286,NA,1496652.4178284293,1466786.0714663635,1349327.58411949,1478118.8846610573,1484102.302225225
131,Bershtauskaye,49639.30970426072,102145.8541142632,137024.0560578139,NA,NA,53183.25443620875,134019.7964734244,68350.3220099805,78515.74469789997,39557.5543518964,30474.08085814831,NA,NA,103778.84311340928,28733.91904090433,75445.82510501647,1484765.6820027067,1471217.3279387087,1445422.5994889052,NA,NA,1455958.638855249,1450167.020890538,1469124.5892898703
132,Belaye (Narach),9807.373041579294,14385.256091966805,20148.67234102137,23110.12854497574,28691.02872055657,41034.41874914736,32770.2467628629,17862.65247808719,NA,28663.59460471658,41889.03850449207,38865.654853013,68897.27113753678,17466.373381461348,48605.00595792884,29451.69404020124,NA,1897788.8747370688,1878800.01458824,1878861.9420357645,1842960.7723736032,1882336.933303145,1859462.472712962,1893523.3789154647
133,Babrovitskaye,60796.82562336633,119677.7299966999,NA,NA,88817.0349308387,169777.8761177809,168499.74351486482,199277.3755490767,52282.08748527979,85265.02984120986,NA,NA,116095.85526797731,107781.9154359706,48675.5944286122,42138.08237970391,9753049.208088754,9661185.361359488,NA,NA,9661215.230998583,9588568.329643656,9648952.783253925,9624712.663268618
134,Vialikiya Shvakshty,NA,139164.5070110248,237064.1874520993,147879.2243454429,137050.77298751535,NA,214756.13177391488,214764.32929382307,NA,196459.08080196008,225118.5391969568,271293.8692532112,181651.5068579281,NA,164733.83968983073,176184.325628333,NA,9006823.996006923,8880264.857170852,8923274.490221256,9023745.303974465,NA,8962957.612356162,8951498.928897751
135,Verauskaye,NA,139306.70181718728,NA,NA,NA,79799.21901598168,151751.41445141955,103448.55374550915,NA,23136.37595373416,NA,NA,NA,62139.04562985287,20875.449534906125,51502.02321086213,NA,1172999.7196262723,NA,NA,NA,1193504.5327513595,1162815.933410869,1180492.2204832183
136,Vilejka Reservoir,419782.14602587855,1074744.5165791532,NA,NA,2121115.2138262,NA,1775496.829267152,1106452.514841478,2141250.006034135,1862698.8532757163,NA,NA,1356264.785510733,NA,1380583.4764672224,1773373.850855256,50961217.172082216,50584805.954287335,NA,NA,50044869.32480528,NA,50366169.01840787,50642422.958445504
137,Vishneuskaye,310190.9672632703,364044.15019125823,505033.9961583153,359869.6995420416,352220.86577067606,NA,531417.5316258892,543960.0191317684,312993.4491520749,348384.1554901122,299693.0849517822,386098.6329288704,362544.5356906367,NA,230053.1739126767,273452.40414463123,9491841.652086444,9402597.76282042,9309951.73861621,9369057.736030877,9400260.667040478,NA,9353555.362963224,9297613.64522539
138,Volpa Reservoir,448890.18239010137,518270.0208995452,NA,NA,511501.73312084784,537582.3495499266,812545.4390244135,677436.487627382,92607.25306911096,38463.04985184016,NA,NA,177045.6409531537,350720.1889474011,47486.94198568008,120657.25269236848,658006.3037676045,642770.6684754316,NA,NA,510956.3651528152,311201.2007294896,339471.3582167231,401409.9989070665
139,Vyhanashchanskaye,98322.41037313426,187109.7736666061,NA,NA,151767.36214268993,NA,329278.4806041939,397795.68316527735,120506.69975131156,148995.90674589569,NA,NA,186594.61417261747,NA,60637.87439802583,36886.59124069215,25080346.153695155,24963069.583407104,NA,NA,24960813.28750429,NA,24909258.908817355,24864492.9894136
140,Hats Reservoir,109632.56262993898,145384.522327019,NA,NA,137611.67198773538,151604.0075851738,217219.51853191905,220321.0809772566,94893.14832887836,60975.24642344457,NA,NA,82408.60507597082,127805.64100023155,35333.52195932725,47635.03092132269,1040021.5623075296,1038187.5045158832,NA,NA,1024526.9962026408,965137.6246809416,991994.2327751009,976591.1613677676
141,Hrodna Reservoir,827110.5861346079,304641.67666340224,NA,NA,251988.44010617107,242783.724906562,368260.3959405186,313799.15249173006,147210.4577695959,30095.726884520293,NA,NA,188210.07095854505,148577.99494712678,138280.55565457811,91652.35994346467,10310991.437970413,10950575.078326697,NA,NA,10845113.970809909,10893950.762020938,10778771.530279534,10879860.96943943
142,Hruda,86523.2336869483,209283.65275109964,247241.2011916365,NA,NA,127399.32334982176,201411.67545631225,160744.75487186204,135469.88369085273,14545.502186749029,30080.05275880405,NA,NA,97910.02521462544,31030.853068482644,70715.93861329323,910156.0491614256,908320.0116013784,854827.912588786,NA,NA,906839.8179747786,899706.6380144304,900688.4730540704
143,Chamialy Reservoir,262785.2485761603,319557.76163050364,NA,316137.4580127046,357879.0948304722,349004.7059646012,440692.9207072841,503059.9532275783,102800.29290162628,108254.0025700588,NA,121958.74960752,133191.43910465614,105977.79678919177,23796.233879089355,6902.494201660156,1011075.5810193528,948849.3582965776,NA,938564.9148769154,885590.5885620117,921678.6197433472,912171.9679107666,866698.6750679016
144,Dziahili,23836.340336952973,34576.73683733475,NA,37275.00556278602,25168.75408281815,NA,34667.34451910282,31283.437139159578,90100.09683887256,20628.124525272146,NA,14638.085783625584,30973.27872805128,NA,12533.330749407003,11603.317056573607,1194088.7291150112,1252820.30492823,NA,1256112.0749444251,1251883.1334799677,NA,1260824.4910223272,1265138.412095104
145,Zelva Reservoir,NA,NA,NA,NA,831690.5533236783,NA,1149235.643477439,997998.2133800128,NA,NA,NA,NA,463006.4120283533,NA,245596.2769106397,349081.41292513674,NA,NA,NA,NA,9699484.454805022,NA,9599349.499768982,9647101.793851906
146,Losha Reservoir,152580.00922420726,174186.81707108428,NA,NA,161102.15541143971,215506.29644416337,198759.4904595916,166753.73470277962,67360.95436443255,27021.2917285246,NA,NA,64134.43822628844,34554.69717824599,18571.14950794893,66245.745764594,2252031.5981769483,2270764.4529659795,NA,NA,2246735.96812786,2221911.5681431787,2254641.921798048,2238973.081298216
147,Malyia Shvakshty,NA,161420.62966775332,194577.37274709973,167940.24620590205,143194.05871040508,NA,202312.47736186624,224590.0601710003,NA,89725.35978498272,175539.59312575098,113815.69627722946,109701.52338116216,NA,90710.9517636916,83608.19286151961,NA,1789924.730221857,1670953.753801742,1759314.7771914613,1788175.137583026,NA,1748047.290549035,1732872.4666420731
148,Minichy Reservoir,447302.6479565189,605315.518602931,NA,NA,609659.5967270635,NA,1320764.023108899,1433622.472197695,628659.3453915913,547012.9312889995,NA,NA,744817.8832280774,NA,218096.064743416,146962.34343346988,2328705.991723812,2252339.5351799903,NA,NA,2050190.5051167803,NA,1865807.8972196088,1824083.1694407589
149,Myastra,NA,435579.1396065356,739349.3621203589,440525.48908161855,538470.9653530649,931626.2540860388,898486.2565005181,567996.0026737456,NA,1093980.120535592,673780.4661168115,924762.7941572304,912125.4787283958,530338.3123938765,452101.9189638623,753305.1748481002,NA,11755044.332962334,11871473.764867298,11919315.309865618,11816760.093965482,11822639.026624553,11934015.417640086,11963302.41558262
150,Narach,356819.19910812384,372247.16356714274,757280.9391170441,NA,647458.3044941325,842695.0309256606,741122.2932565591,883037.340747221,1482584.4784135714,784311.6403362056,816068.6310327421,NA,1161788.1512676624,760906.2052039653,600242.9359054564,508644.0556315107,77714129.61777268,78396974.49139105,77980183.72514461,NA,77701141.22792983,77949932.05916473,78212168.06613235,78161851.89891562
151,Papiernia Reservoir,246695.220007848,NA,NA,NA,288716.16589356976,NA,431898.4812294304,371220.0059962104,109994.66178407856,NA,NA,NA,136757.6721206366,NA,43279.25881952024,201877.28699061068,787532.3988363979,NA,NA,NA,718748.4426141181,NA,669044.5405793734,571124.987641503
