fid_1,RD05,Max,S_m2,Type,morf_group,X,Y
71,4.88891719919622,17.95,1694000,1,1,25.152284969001,55.26310872365
72,8.10362528495635,25,1196000,1,2,25.502951701022,55.25565793045112
73,6.40693599508742,20.4,1274000,1,2,24.809943372719,54.6045240479183
74,1.48277654213183,15,12860000,1,3,23.769269976072,54.29934977303074
75,11.5546538397505,33,1025000,1,2,24.761933498816,54.64767938647116
76,1.42242167168243,6.9,2957000,1,3,24.327004574953,54.27997556427342
77,2.52842824032951,8.9,1557000,1,3,25.167847180604,55.4503746310372
78,5.44036052155264,17.1,1241500,1,1,23.620852486646,54.01381688718054
79,1.12845070543226,7.62,5730000,1,3,23.83029165228,54.2979046410911
80,2.66401414335604,15,3984000,1,3,22.97765099397,54.64650495793268
81,4.83579771295326,17,1553000,1,1,25.949425007959,55.38577376807538
82,0.421212537945788,1.64,1905000,1,3,25.133084671802,54.48190744580166
83,7.84446302764004,32.5,2157000,1,2,25.794776265253,55.22101359115342
84,4.67565447998811,46,12163000,1,1,21.85829209666,56.03949196883056
85,6.81756664040427,22.3,1344500,1,2,23.678274580524,54.19392084022162
86,1.02711245469184,4.9,2860000,1,3,25.734874220328,55.0936890625167
87,2.17442546122916,7.8,1617000,1,3,25.728832080045,55.76942671807708
88,6.51215081020151,25,1852000,1,2,25.702262231359,55.2122112255398
89,1.84879766526943,6.8,1700000,1,3,23.50805416972,54.29649260158096
90,1.85756838473591,16.1,9440000,1,3,25.27173309422,55.50634738015866
91,1.94331344470786,12.7,5367000,1,3,26.218223776915,55.6478453985753
92,2.12746367535654,21.9,13316000,1,3,25.834124055885,55.79838069782508
93,3.04018932368652,19.2,5012000,1,1,23.836398598266,54.20025920061894
94,5.80952888954521,37.8,5320000,1,1,25.5117243602,55.22351768601532
95,1.43296839892016,4.8,1410000,1,3,24.542298235319,55.29158669682604
96,0.909623740396879,4,2430000,1,3,23.638405417713,54.39903690909994
97,6.46472515668107,32,3079000,1,2,24.970922688917,54.66497250900614
98,7.43623768234606,28.8,1884900,1,2,23.645474892966,54.14512712897358
99,6.04379640634392,24.97,2145000,1,1,23.736269418269,54.09019370922602
100,7.97496290902003,24.5,1186000,1,2,24.695533180324,54.56693709999278
101,4.23699229813533,35.1,8624000,1,1,25.657040541862,55.25233755945056
102,4.53464951619495,13.3,1081000,1,1,24.317670068355,54.33517066698826
103,7.75437488061626,24.7,1275000,1,2,25.366823555698,55.69910638647282
104,9.72220722086339,62.1,5127000,1,2,25.912086332921,55.43769281840866
105,7.46096708400511,30.5,2100000,1,2,25.974194784655,55.36953513416546
106,5.1562329166743,23.3,2566000,1,1,25.971764895986,55.30209654081828
107,5.2639193767251,21,2000000,1,1,25.996219149083,55.45802714922142
108,3.24949872666011,11,1440000,2,4,23.652137581809,55.49042918735076
109,4.64170524083942,20,2333000,1,1,26.119549201855,55.28184728534996
110,4.80194381294691,33.8,6226000,1,1,23.598397364814,54.05022857790506
111,11.3927552760262,48.4,2268000,1,2,25.971258717603,55.71055742864464
112,17.5155975512435,50,1024000,1,2,24.58387437886,54.54737847504752
113,4.66114532799496,18,1874000,1,1,23.703685103303,54.12000672978078
114,1.97100510168967,5.9,1126000,1,3,25.470187345034,55.44732901903666
115,6.84819673263102,33,2918000,1,2,24.821374233863,54.75599579647722
